,id,contract_start,age,applicant_gender,applicant_maritalstatus,applicant_education,dependants,job,town,default
34,35,2018-01-08,53.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,0,UNEMPLOYED,Reykjavík,0
35,36,2018-01-05,51.0,MALE,DIVORCED,HIGHER_MA,0,STUDENT,Álftanes,0
36,37,2018-01-05,51.0,MALE,DIVORCED,HIGHER_MA,5,STUDENT,Seltjarnarnes,0
37,38,2018-01-10,44.0,FEMALE,DIVORCED,HIGHER_BA,0,EMPLOYEE,Kópavogur,0
38,39,2018-01-10,44.0,FEMALE,DIVORCED,HIGHER_BA,1,EMPLOYEE,Garðabær,0
39,40,2018-01-08,50.0,MALE,MARRIED,SECONDARY_SPECIALISED,2,EMPLOYEE,Ísafjörður,0
40,41,2018-01-08,28.0,MALE,COHABITING,HIGHER_BA,1,EMPLOYEE,Reykjavík,0
41,42,2018-01-08,28.0,MALE,COHABITING,HIGHER_BA,0,EMPLOYEE,Kópavogur,0
42,43,2018-01-08,44.0,MALE,MARRIED,HIGHER_MA,1,EMPLOYEE,Reykjavík,0
43,44,2018-01-09,45.0,MALE,DIVORCED,SECONDARY_SPECIALISED,3,EMPLOYEE,Reykjavík,1
44,45,2018-01-08,49.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,1,EMPLOYEE,Reykjavík,1
45,46,2018-01-08,52.0,FEMALE,MARRIED,HIGHER_BA,5,EMPLOYEE,Hafnarfjörður,0
46,47,2018-01-09,39.0,FEMALE,MARRIED,HIGHER_MA,0,EMPLOYEE,Reykjavík,0
47,48,2018-01-09,31.0,FEMALE,SINGLE,HIGHER_BA,1,EMPLOYEE,Álftanes,0
48,49,2018-01-09,31.0,FEMALE,SINGLE,HIGHER_BA,1,EMPLOYEE,Reykjavík,0
49,50,2018-01-08,56.0,MALE,WIDOW,SECONDARY,1,EMPLOYEE,Reykjavík,0
50,51,2018-01-08,45.0,MALE,MARRIED,SECONDARY,1,EMPLOYEE,Kópavogur,0
51,52,2018-01-08,53.0,MALE,COHABITING,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
52,53,2018-01-24,41.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,PENSIONER,Reykjavík,0
53,54,2018-01-17,55.0,MALE,COHABITING,SECONDARY,1,EMPLOYEE,Reykjavík,0
54,55,2018-01-08,34.0,MALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Ísafjörður,0
55,56,2018-01-09,61.0,MALE,COHABITING,HIGHER_MA,4,EMPLOYEE,Reykjavík,0
56,57,2018-01-08,33.0,FEMALE,COHABITING,HIGHER_MA,1,PENSIONER,Vestmannaeyjar,1
57,58,2018-01-08,33.0,FEMALE,COHABITING,HIGHER_MA,1,PENSIONER,Akranes,1
58,59,2018-01-11,37.0,MALE,MARRIED,BASIC,1,PENSIONER,Reykjavík,1
59,60,2018-01-10,30.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,1,ENTREPRENEUR,Reykjavík,0
60,61,2018-01-10,30.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,1,ENTREPRENEUR,Mosfellsbær,0
61,62,2018-01-08,27.0,MALE,COHABITING,HIGHER_BA,0,EMPLOYEE,Reykjavík,0
62,63,2018-01-11,39.0,MALE,COHABITING,SECONDARY_SPECIALISED,0,PENSIONER,Reykjavík,0
63,64,2018-01-11,39.0,MALE,COHABITING,SECONDARY_SPECIALISED,0,PENSIONER,Grindavík,0
64,65,2018-01-09,36.0,MALE,MARRIED,SECONDARY_SPECIALISED,1,EMPLOYEE,Grindavík,1
65,66,2018-01-09,36.0,MALE,MARRIED,SECONDARY_SPECIALISED,1,EMPLOYEE,Reykjavík,1
66,67,2018-01-10,40.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,UNEMPLOYED,Akranes,1
67,68,2018-01-10,49.0,FEMALE,MARRIED,HIGHER_MA,2,EMPLOYEE,Reykjavík,1
68,69,2018-01-10,49.0,FEMALE,MARRIED,HIGHER_MA,0,EMPLOYEE,Mosfellsbær,1
69,70,2018-01-10,23.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
70,71,2018-01-10,52.0,MALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Akranes,1
71,72,2018-01-15,46.0,MALE,DIVORCED,SECONDARY_SPECIALISED,1,EMPLOYEE,Reykjavík,0
72,73,2018-01-11,45.0,MALE,MARRIED,SECONDARY_SPECIALISED,2,PENSIONER,Reykjavík,0
73,74,2018-01-10,39.0,FEMALE,COHABITING,HIGHER_BA,0,PENSIONER,Reykjavík,1
74,75,2018-01-10,40.0,MALE,COHABITING,SECONDARY,1,EMPLOYEE,Álftanes,0
75,76,2018-01-11,73.0,MALE,DIVORCED,SECONDARY_SPECIALISED,0,PENSIONER,Reykjavík,0
76,77,2018-01-11,68.0,MALE,MARRIED,SECONDARY_SPECIALISED,2,PENSIONER,Garðabær,0
77,78,2018-01-11,68.0,MALE,MARRIED,SECONDARY_SPECIALISED,1,PENSIONER,Reykjavík,0
78,79,2018-01-12,37.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Hafnarfjörður,1
79,80,2018-01-12,37.0,MALE,MARRIED,SECONDARY_SPECIALISED,2,EMPLOYEE,Álftanes,1
80,81,2018-01-12,37.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,1
81,82,2018-01-12,37.0,MALE,MARRIED,SECONDARY_SPECIALISED,3,EMPLOYEE,Kópavogur,1
82,83,2018-01-12,37.0,MALE,MARRIED,SECONDARY_SPECIALISED,5,EMPLOYEE,Vestmannaeyjar,1
83,84,2018-01-18,23.0,MALE,SINGLE,SECONDARY_SPECIALISED,0,PENSIONER,Hafnarfjörður,0
84,85,2018-01-11,33.0,FEMALE,DIVORCED,SECONDARY_SPECIALISED,2,EMPLOYEE,Reykjavík,0
85,86,2018-01-11,52.0,FEMALE,DIVORCED,SECONDARY_SPECIALISED,0,STUDENT,Seltjarnarnes,0
86,87,2018-01-11,52.0,FEMALE,DIVORCED,SECONDARY_SPECIALISED,0,STUDENT,Akureyri,0
88,89,2018-01-18,62.0,MALE,DIVORCED,BASIC,3,EMPLOYEE,Kópavogur,1
89,90,2018-01-25,22.0,MALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
90,91,2018-01-11,32.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,1,EMPLOYEE,Reykjavík,0
91,92,2018-01-12,49.0,MALE,COHABITING,BASIC,1,EMPLOYEE,Reykjavík,0
92,93,2018-01-11,37.0,MALE,MARRIED,SECONDARY_SPECIALISED,1,PENSIONER,Álftanes,0
93,94,2018-01-11,37.0,MALE,MARRIED,SECONDARY_SPECIALISED,1,PENSIONER,Mosfellsbær,0
94,95,2018-01-11,30.0,FEMALE,SINGLE,HIGHER_BA,0,EMPLOYEE,Akranes,0
95,96,2018-01-12,52.0,MALE,MARRIED,HIGHER_BA,1,EMPLOYEE,Reykjavík,0
96,97,2018-01-12,52.0,MALE,MARRIED,HIGHER_BA,1,EMPLOYEE,Akranes,0
97,98,2018-01-12,44.0,MALE,MARRIED,SECONDARY_SPECIALISED,3,EMPLOYEE,Akranes,0
98,99,2018-01-12,44.0,MALE,MARRIED,SECONDARY_SPECIALISED,2,EMPLOYEE,Álftanes,0
99,100,2018-01-12,44.0,MALE,MARRIED,SECONDARY_SPECIALISED,2,EMPLOYEE,Reykjavík,0
100,101,2018-01-12,37.0,MALE,MARRIED,HIGHER_BA,1,EMPLOYEE,Mosfellsbær,0
101,102,2018-01-16,62.0,MALE,MARRIED,SECONDARY_SPECIALISED,2,EMPLOYEE,Akureyri,0
102,103,2018-01-16,62.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Kópavogur,0
103,104,2018-01-12,32.0,FEMALE,MARRIED,SECONDARY,5,PENSIONER,Mosfellsbær,0
104,105,2018-01-12,32.0,FEMALE,MARRIED,SECONDARY,0,PENSIONER,Reykjavík,0
105,106,2018-01-12,36.0,FEMALE,SINGLE,HIGHER_MA,1,PENSIONER,Reykjavík,0
106,107,2018-01-12,35.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,4,EMPLOYEE,Reykjavík,0
107,108,2018-01-12,31.0,MALE,COHABITING,SECONDARY,0,EMPLOYEE,Reykjavík,0
108,109,2018-01-12,23.0,MALE,SINGLE,SECONDARY,0,PENSIONER,Reykjavík,0
109,110,2018-01-12,23.0,MALE,SINGLE,SECONDARY,0,PENSIONER,Akranes,0
110,111,2018-01-12,35.0,MALE,MARRIED,SECONDARY,0,EMPLOYEE,Reykjavík,0
111,112,2018-01-12,35.0,MALE,MARRIED,SECONDARY,5,EMPLOYEE,Hafnarfjörður,0
112,113,2018-01-12,52.0,MALE,MARRIED,SECONDARY,1,UNEMPLOYED,Grindavík,0
113,114,2018-01-15,56.0,MALE,MARRIED,SECONDARY_SPECIALISED,5,EMPLOYEE,Reykjavík,0
114,115,2018-01-15,51.0,MALE,WIDOW,HIGHER_MA,0,EMPLOYEE,Reykjavík,0
115,116,2018-01-16,52.0,MALE,MARRIED,SECONDARY_SPECIALISED,1,PENSIONER,Reykjavík,0
116,117,2018-01-15,63.0,MALE,MARRIED,HIGHER_MA,1,PENSIONER,Reykjavík,0
117,118,2018-01-15,49.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,0,UNEMPLOYED,Akureyri,0
118,119,2018-01-15,49.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,0,UNEMPLOYED,Reykjavík,0
119,120,2018-01-15,60.0,MALE,MARRIED,BASIC,1,PENSIONER,Álftanes,1
120,121,2018-01-19,69.0,MALE,MARRIED,BASIC,0,PENSIONER,Reykjavík,0
121,122,2018-01-16,31.0,FEMALE,MARRIED,HIGHER_BA,0,EMPLOYEE,Reykjavík,0
122,123,2018-01-15,57.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,1,EMPLOYEE,Reykjavík,0
123,124,2018-01-15,26.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,1,EMPLOYEE,Reykjavík,0
124,125,2018-01-15,49.0,MALE,MARRIED,SECONDARY_SPECIALISED,2,EMPLOYEE,Kópavogur,0
125,126,2018-01-15,49.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
126,127,2018-01-16,50.0,MALE,COHABITING,HIGHER_BA,4,EMPLOYEE,Hafnarfjörður,0
127,128,2018-01-16,50.0,MALE,COHABITING,HIGHER_BA,1,EMPLOYEE,Reykjavík,0
128,129,2018-01-15,50.0,MALE,MARRIED,BASIC,0,EMPLOYEE,Kópavogur,1
129,130,2018-01-15,50.0,MALE,MARRIED,BASIC,0,EMPLOYEE,Mosfellsbær,1
130,131,2018-01-16,33.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
131,132,2018-01-16,56.0,FEMALE,DIVORCED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
132,133,2018-01-15,50.0,MALE,MARRIED,SECONDARY_SPECIALISED,2,EMPLOYEE,Reykjavík,0
133,134,2018-01-16,49.0,MALE,COHABITING,SECONDARY_SPECIALISED,0,EMPLOYEE,Hafnarfjörður,0
134,135,2018-01-15,27.0,FEMALE,COHABITING,SECONDARY,3,EMPLOYEE,Reykjavík,0
135,136,2018-01-16,59.0,MALE,DIVORCED,HIGHER_BA,1,EMPLOYEE,Akureyri,0
136,137,2018-01-15,44.0,FEMALE,MARRIED,HIGHER_BA,1,PENSIONER,Hafnarfjörður,0
137,138,2018-01-15,44.0,FEMALE,MARRIED,HIGHER_BA,0,PENSIONER,Álftanes,0
138,139,2018-01-17,60.0,MALE,COHABITING,SECONDARY_SPECIALISED,0,EMPLOYEE,Álftanes,0
139,140,2018-01-19,26.0,MALE,COHABITING,BASIC,0,EMPLOYEE,Reykjavík,0
140,141,2018-01-15,30.0,FEMALE,SINGLE,HIGHER_MA,0,EMPLOYEE,Reykjavík,0
141,142,2018-01-16,44.0,MALE,MARRIED,SECONDARY_SPECIALISED,5,EMPLOYEE,Reykjavík,0
142,143,2018-01-17,60.0,MALE,MARRIED,BASIC,1,PENSIONER,Akranes,0
143,144,2018-01-17,60.0,MALE,MARRIED,BASIC,1,PENSIONER,Vestmannaeyjar,0
144,145,2018-02-01,39.0,MALE,MARRIED,HIGHER_MA,4,EMPLOYEE,Reykjavík,0
145,146,2018-01-16,53.0,MALE,MARRIED,SECONDARY_SPECIALISED,1,ENTREPRENEUR,Reykjavík,0
146,147,2018-01-15,47.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
147,148,2018-01-15,62.0,FEMALE,DIVORCED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
148,149,2018-01-15,41.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,1,EMPLOYEE,Mosfellsbær,0
149,150,2018-01-18,43.0,MALE,MARRIED,HIGHER_MA,5,EMPLOYEE,Reykjavík,0
150,151,2018-01-18,61.0,MALE,COHABITING,BASIC,0,PENSIONER,Reykjavík,0
151,152,2018-01-18,61.0,MALE,COHABITING,BASIC,0,PENSIONER,Grindavík,0
152,153,2018-01-18,61.0,MALE,COHABITING,BASIC,0,PENSIONER,Akranes,0
153,154,2018-01-15,47.0,MALE,MARRIED,HIGHER_MA,0,EMPLOYEE,Reykjavík,0
154,155,2018-01-17,49.0,MALE,MARRIED,SECONDARY,2,EMPLOYEE,Reykjavík,0
155,156,2018-01-15,35.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Mosfellsbær,0
156,157,2018-01-15,35.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
157,158,2018-01-15,35.0,MALE,MARRIED,SECONDARY_SPECIALISED,1,EMPLOYEE,Álftanes,0
158,159,2018-01-15,52.0,MALE,COHABITING,BASIC,0,PENSIONER,Reykjavík,0
159,160,2018-01-15,52.0,MALE,MARRIED,HIGHER_BA,5,EMPLOYEE,Reykjavík,0
160,161,2018-01-17,51.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,3,EMPLOYEE,Mosfellsbær,0
161,162,2018-01-15,41.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,0,UNEMPLOYED,Mosfellsbær,0
162,163,2018-01-17,34.0,FEMALE,MARRIED,HIGHER_MA,2,UNEMPLOYED,Reykjavík,0
163,164,2018-01-16,33.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,1,EMPLOYEE,Reykjavík,0
164,165,2018-01-15,56.0,MALE,COHABITING,HIGHER_BA,1,EMPLOYEE,Mosfellsbær,0
165,166,2018-01-15,56.0,MALE,COHABITING,HIGHER_BA,1,EMPLOYEE,Garðabær,0
166,167,2018-01-25,41.0,FEMALE,MARRIED,SECONDARY,1,PENSIONER,Reykjavík,0
167,168,2018-01-16,29.0,MALE,COHABITING,SECONDARY_SPECIALISED,3,EMPLOYEE,Reykjavík,0
168,169,2018-01-30,26.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,2,EMPLOYEE,Reykjavík,0
169,170,2018-01-15,32.0,MALE,MARRIED,HIGHER_BA,1,ENTREPRENEUR,Hafnarfjörður,0
170,171,2018-01-15,32.0,MALE,MARRIED,HIGHER_BA,3,ENTREPRENEUR,Reykjavík,0
171,172,2018-01-15,49.0,FEMALE,MARRIED,SECONDARY,1,PENSIONER,Reykjavík,0
172,173,2018-01-15,48.0,FEMALE,COHABITING,SECONDARY,1,EMPLOYEE,Reykjavík,0
173,174,2018-01-17,55.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,4,ENTREPRENEUR,Reykjavík,0
174,175,2018-01-16,25.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,1,EMPLOYEE,Reykjavík,0
175,176,2018-01-16,24.0,MALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Grindavík,0
176,177,2018-01-16,24.0,MALE,SINGLE,SECONDARY_SPECIALISED,2,EMPLOYEE,Reykjavík,0
177,178,2018-01-16,24.0,MALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Vestmannaeyjar,0
178,179,2018-01-16,49.0,MALE,MARRIED,HIGHER_MA,0,EMPLOYEE,Reykjavík,0
179,180,2018-01-16,25.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,5,EMPLOYEE,Reykjavík,0
180,181,2018-01-17,48.0,FEMALE,DIVORCED,HIGHER_BA,1,EMPLOYEE,Reykjavík,0
181,182,2018-01-16,53.0,FEMALE,MARRIED,SECONDARY,1,EMPLOYEE,Seltjarnarnes,0
182,183,2018-01-16,53.0,FEMALE,MARRIED,SECONDARY,0,EMPLOYEE,Álftanes,0
183,184,2018-01-16,44.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,4,EMPLOYEE,Reykjavík,0
184,185,2018-01-16,57.0,MALE,MARRIED,SECONDARY_SPECIALISED,5,PENSIONER,Reykjavík,0
185,186,2018-01-17,40.0,MALE,MARRIED,HIGHER_MA,3,PENSIONER,Reykjavík,0
186,187,2018-01-17,40.0,MALE,MARRIED,HIGHER_MA,0,PENSIONER,Grindavík,0
187,188,2018-01-16,46.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,0,EMPLOYEE,Mosfellsbær,0
188,189,2018-01-18,39.0,MALE,COHABITING,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
189,190,2018-01-16,42.0,MALE,COHABITING,SECONDARY_SPECIALISED,1,PENSIONER,Reykjavík,1
190,191,2018-01-16,25.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,3,EMPLOYEE,Reykjavík,1
191,192,2018-01-17,47.0,MALE,MARRIED,SECONDARY_SPECIALISED,3,EMPLOYEE,Reykjavík,0
192,193,2018-02-02,43.0,MALE,MARRIED,HIGHER_BA,1,EMPLOYEE,Reykjavík,0
193,194,2018-01-16,22.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Garðabær,0
194,195,2018-01-17,22.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,0,ENTREPRENEUR,Reykjavík,0
195,196,2018-01-17,61.0,FEMALE,COHABITING,BASIC,0,EMPLOYEE,Vestmannaeyjar,0
196,197,2018-01-16,74.0,MALE,DIVORCED,BASIC,0,EMPLOYEE,Reykjavík,1
197,198,2018-01-16,40.0,MALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
198,199,2018-01-17,57.0,MALE,MARRIED,BASIC,0,EMPLOYEE,Reykjavík,0
199,200,2018-01-17,58.0,MALE,DIVORCED,HIGHER_BA,0,EMPLOYEE,Álftanes,0
200,201,2018-01-17,54.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,0,PENSIONER,Reykjavík,0
201,202,2018-01-19,42.0,FEMALE,DIVORCED,HIGHER_BA,0,ENTREPRENEUR,Reykjavík,0
202,203,2018-01-17,52.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,1,UNEMPLOYED,Reykjavík,0
203,204,2018-01-17,52.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,4,UNEMPLOYED,Akranes,0
204,205,2018-01-17,22.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,1,EMPLOYEE,Reykjavík,0
205,206,2018-01-17,22.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,4,EMPLOYEE,Vestmannaeyjar,0
206,207,2018-01-18,39.0,MALE,DIVORCED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
207,208,2018-01-18,39.0,MALE,DIVORCED,SECONDARY_SPECIALISED,0,EMPLOYEE,Hafnarfjörður,0
208,209,2018-02-01,53.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
209,210,2018-02-01,53.0,MALE,MARRIED,SECONDARY_SPECIALISED,1,EMPLOYEE,Akranes,0
210,211,2018-01-18,35.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,2,EMPLOYEE,Reykjavík,0
211,212,2018-01-18,35.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Hafnarfjörður,0
212,213,2018-01-17,57.0,FEMALE,DIVORCED,SECONDARY_SPECIALISED,3,EMPLOYEE,Hafnarfjörður,0
213,214,2018-01-18,53.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,2,PENSIONER,Kópavogur,0
214,215,2018-01-18,53.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,0,PENSIONER,Akranes,0
215,216,2018-01-18,53.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,0,PENSIONER,Seltjarnarnes,0
216,217,2018-01-17,22.0,MALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Sauðárkrókur,0
217,218,2018-01-17,22.0,MALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
218,219,2018-01-17,32.0,MALE,SINGLE,SECONDARY_SPECIALISED,2,UNEMPLOYED,Reykjavík,1
219,220,2018-01-17,56.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,3,EMPLOYEE,Kópavogur,0
220,221,2018-01-26,51.0,MALE,MARRIED,HIGHER_BA,0,EMPLOYEE,Hafnarfjörður,0
221,222,2018-01-26,51.0,MALE,MARRIED,HIGHER_BA,2,EMPLOYEE,Reykjavík,0
222,223,2018-02-06,39.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,3,EMPLOYEE,Reykjavík,0
223,224,2018-01-17,55.0,MALE,MARRIED,SECONDARY,4,EMPLOYEE,Kópavogur,0
224,225,2018-01-17,55.0,MALE,MARRIED,SECONDARY,1,EMPLOYEE,Reykjavík,0
226,227,2018-01-17,55.0,MALE,MARRIED,SECONDARY,4,EMPLOYEE,Grindavík,0
227,228,2018-01-17,41.0,MALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
228,229,2018-01-23,29.0,MALE,MARRIED,SECONDARY_SPECIALISED,3,EMPLOYEE,Kópavogur,0
229,230,2018-01-18,50.0,MALE,MARRIED,SECONDARY_SPECIALISED,5,EMPLOYEE,Reykjavík,0
230,231,2018-02-02,35.0,FEMALE,DIVORCED,SECONDARY_SPECIALISED,3,EMPLOYEE,Álftanes,0
231,232,2018-02-02,35.0,FEMALE,DIVORCED,SECONDARY_SPECIALISED,0,EMPLOYEE,Akranes,0
233,234,2018-02-06,24.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,0,EMPLOYEE,Selfoss,0
234,235,2018-02-06,24.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,3,EMPLOYEE,Reykjavík,0
235,236,2018-01-18,30.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
236,237,2018-01-19,35.0,MALE,MARRIED,HIGHER_MA,1,EMPLOYEE,Reykjavík,0
237,238,2018-01-19,35.0,MALE,MARRIED,HIGHER_MA,2,EMPLOYEE,Kópavogur,0
238,239,2018-01-18,49.0,FEMALE,DIVORCED,BASIC,0,STUDENT,Garðabær,1
239,240,2018-01-18,49.0,FEMALE,DIVORCED,BASIC,0,STUDENT,Grindavík,1
240,241,2018-01-30,37.0,MALE,MARRIED,BASIC,0,EMPLOYEE,Reykjavík,0
241,242,2018-01-18,49.0,FEMALE,SINGLE,HIGHER_MA,0,ENTREPRENEUR,Reykjavík,0
242,243,2018-01-18,47.0,MALE,MARRIED,HIGHER_BA,0,EMPLOYEE,Hafnarfjörður,0
243,244,2018-01-18,47.0,MALE,MARRIED,HIGHER_BA,5,EMPLOYEE,Reykjavík,0
244,245,2018-01-18,54.0,FEMALE,DIVORCED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
